graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,sparsify_time,metric_time
directed1.edgelist,directed,original,0.2,11,26,,1.0,True,True,inf,inf,1.0,inf,inf,inf,22426.0,22426.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,,0.6363636363636364,0.36363636363636365,,,,,0.6363636363636364,0.36363636363636365,,,,0.0026056930000777356
directed1.edgelist,directed,kols,0.2,11,26,10,0.38461538461538464,True,True,inf,inf,1.0,inf,inf,inf,22426.0,8048.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,0.09090909090909091,0.9090909090909091,,,,,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,,,0.00024365100034628995,0.0011912059999303892
directed1.edgelist,directed,random,0.2,11,26,23,0.8846153846153846,True,True,inf,inf,1.0,inf,inf,inf,22426.0,20866.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,0.18181818181818182,0.5454545454545454,0.2727272727272727,,,,0.18181818181818182,0.5454545454545454,0.2727272727272727,,,0.00015042299855849706,0.001566984999954002
directed1.edgelist,directed,k_neighbor,0.2,11,26,9,0.34615384615384615,True,False,inf,inf,0.509090909090909,inf,inf,inf,22426.0,15180.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,0.45454545454545453,0.45454545454545453,0.09090909090909091,,,,,,,,,,,,,,,0.0015070840017870069,0.0012316829997871537
directed1.edgelist,directed,local_degree,0.2,11,26,11,0.4230769230769231,True,True,inf,inf,1.0,inf,inf,inf,22426.0,11109.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.18181818181818182,,,,1.0,,,,,0.0002775550019578077,0.0011617560012382455
directed1.edgelist,directed,mst,0.2,11,26,10,0.38461538461538464,True,True,inf,30.0,0.0,inf,inf,inf,22426.0,4725.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,0.36363636363636365,0.45454545454545453,0.18181818181818182,,,,,,,,,,,,,,,0.00033328100107610226,0.00123990700012655
directed1.edgelist,directed,t_spanner,0.2,11,26,24,0.9230769230769231,True,True,inf,inf,1.0,inf,inf,inf,22426.0,5899.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,0.18181818181818182,0.45454545454545453,0.36363636363636365,,,,0.18181818181818182,0.45454545454545453,0.36363636363636365,,,0.0010884650000662077,0.002505387001292547
directed2.edgelist,directed,original,0.2,10,19,,1.0,True,True,inf,inf,1.0,inf,inf,inf,17200.0,17200.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.1,0.1,0.6,0.2,,,,0.3,0.5,0.2,,,,0.0013026929991610814
directed2.edgelist,directed,kols,0.2,10,19,9,0.47368421052631576,True,False,inf,inf,1.0,inf,inf,inf,17200.0,3289.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.2,0.7,0.1,,,,0.3,0.5,0.2,,,,0.00020230799782439135,0.0011523419998411555
directed2.edgelist,directed,random,0.2,10,19,16,0.8421052631578947,True,True,inf,inf,1.0,inf,inf,inf,17200.0,12774.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.1,0.3,0.5,0.1,,,,0.4,0.6,,,,0.00011832200107164681,0.001472350999392802
